id,Accident_Latitude,Accident_Longitude,Accident_Type
1,33.885,132.693,﻿浸水
2,33.89167,132.707,﻿衝突（岸壁）
3,34.1861,132.5377,﻿衝突
4,33.8667,132.7083,﻿衝突（桟橋）
5,34.196,132.539,﻿火災
6,33.952667,132.473,﻿乗揚
7,33.94333,132.705,﻿運航阻害
8,33.866667,132.708333,﻿衝突（養殖施設）
9,33.8833,132.6945,﻿衝突
10,33.885,132.7,﻿衝突（桟橋）
11,34.2388,132.5555,﻿衝突（防波堤）
12,34.241,132.5555,﻿衝突（岸壁）
13,33.865,132.71,﻿衝突（桟橋）
14,33.865,132.71,﻿衝突（桟橋）
15,33.944444,132.441667,﻿乗組員負傷
16,33.9744,132.6334,﻿衝突（防波堤）
17,33.9883,132.7035,﻿運航阻害
18,34.0287,132.5555,﻿乗揚
19,33.935,132.537,﻿衝突（防波堤）
20,33.94767,132.4986,﻿乗揚
21,33.89,132.7,﻿衝突（桟橋）
22,34.1937,132.4769,﻿押船第二十七久栄丸被押起重機船第１２久栄号交通船光洋丸衝突
23,33.9005,132.6813,﻿乗揚
24,34.22,132.5319,﻿衝突
25,34.2383,132.5533,﻿運航阻害
26,34.24,132.555,﻿衝突
27,33.86552,132.70817,﻿衝突（岸壁）
28,33.8685,132.687,﻿運航不能（機関故障）
29,33.8883,132.705,﻿衝突（桟橋）
30,33.89,132.704,﻿衝突（桟橋）
31,33.95,132.47,﻿乗揚
32,34.24,132.555,﻿衝突（岸壁）
33,33.9558,132.6808,﻿旅客船衝突(桟橋)
34,34.1533,132.6525,﻿乗揚
35,33.8916667,132.70525,﻿衝突（岸壁）
36,34.1352,132.4816,﻿衝突
37,31.596,130.563,﻿火災
38,31.596,130.563,﻿旅客負傷
39,33.8983,130.8933,﻿火災
40,33.885,130.990667,﻿作業員負傷
41,33.973333,130.8703,﻿運航阻害
42,34.6685,135.1933,﻿運航不能（舵故障）
43,34.6417,134.99,﻿乗揚
44,33.901667,130.8155,﻿旅客負傷
45,33.9555,130.9481,﻿旅客負傷
46,31.58,130.567,﻿火災
47,31.483333,130.69,﻿衝突（岸壁）
48,34.6133,135.0117,﻿運航不能（絡索）
49,33.928,130.9,﻿旅客船フェリーふく彦運航不能（機関損傷）
50,34.585,135.189,﻿衝突（漁具）
51,34.6518,135.1907,﻿衝突
52,31.4885,130.6925,﻿衝突（防波堤）
53,31.4822,130.517,﻿乗組員死亡
54,33.872183,130.986297,﻿衝突（岸壁）
55,31.5533,130.56,﻿衝突（岸壁）
56,31.593333,130.598167,﻿衝突（岸壁）
57,31.48333333,130.6916667,﻿衝突（岸壁）
58,34.682,135.1852,﻿衝突（護岸）
59,33.885,130.99,﻿乗組員負傷
60,33.7867,130.9884,﻿衝突
61,31.481,130.515,﻿運航阻害
62,31.59,130.576,﻿衝突
63,34.6351,135.2467,﻿衝突（進入灯台）
64,34.67667,135.186,﻿運航阻害
65,31.5533,130.56,﻿衝突（岸壁）
66,33.902,130.815,﻿乗組員負傷
67,31.5933,130.6,﻿衝突（岸壁）
68,33.896,131.118,﻿漁網損傷
69,31.5537,130.5612,﻿衝突（防波堤）
70,31.596,130.563,﻿乗組員負傷
71,31.596,130.563,﻿衝突（可動橋）
72,31.5927,130.5982,﻿衝突（岸壁）
73,34.68333,135.19833,﻿衝突（岸壁）
74,31.721667,130.2537,﻿運航阻害
75,34.6185,135.0289,﻿衝突（漁具）
76,34.625,134.903,﻿衝突（灯浮標）
77,31.588833,130.590667,﻿乗揚
78,34.575,135.165,﻿安全阻害
79,31.552,130.56,﻿陸上作業員負傷
80,31.595,130.596,﻿運航阻害
81,34.1,130.7883,﻿衝突
82,31.596444,130.563889,﻿乗組員負傷
83,31.478,130.517,﻿衝突
84,34.0655,130.8733,﻿衝突
85,33.955,130.944,﻿乗組員負傷
86,34.63,134.99,﻿運航阻害
87,33.9517,130.9167,﻿火災
88,34.365,134.0533333,﻿運航阻害
89,34.355,134.05,﻿衝突（岸壁）
90,34.487222,133.950556,﻿衝突（防波堤）
91,34.4083,134.1053,﻿旅客負傷
92,34.3883,134.0867,﻿運航阻害
93,34.4917,133.9517,﻿乗組員負傷
94,34.3593,134.0588,﻿衝突事故
95,34.4967,133.9815,﻿乗揚
96,34.3685,134.0539,﻿火災
97,34.382,134.123,﻿衝突（岸壁）
98,34.3906,134.0555,﻿衝突（防波堤）
99,34.39333333,134.0633333,﻿乗揚
100,34.463,133.998,﻿乗揚
101,34.4767,134.0067,﻿衝突（のり養殖施設）
102,34.487,134.177,﻿衝突（桟橋）
103,34.5667,134.1,﻿乗揚
104,34.425833,133.795,﻿衝突
105,34.44167,133.81333,﻿衝突（防波堤）
106,34.355,134.0482,﻿衝突（岸壁）
107,34.3552,134.0482,﻿陸上作業員負傷
108,34.3935,134.2372,﻿衝突
109,34.4883,133.95,﻿衝突
110,34.563,134.1075,﻿乗揚
111,34.48,133.985,﻿運航不能（機関故障）
112,34.4883,134.06,﻿旅客負傷
113,34.355,134.0733,﻿乗組員負傷
114,34.296,133.79,﻿運航不能（機関損傷）
115,34.3651667,134.0739167,﻿運航不能（電源喪失）
116,34.6045,133.9862,﻿乗組員死亡
117,34.295,133.7916667,﻿衝突（桟橋）
118,34.4018,134.0612,﻿運航不能（燃料不足）
119,34.398167,133.810778,﻿乗揚
120,34.4383,134.0593,﻿運航阻害
121,34.44,133.9983,﻿衝突（のり養殖施設）
122,34.568,135.273,﻿漁網損傷
123,34.618833,135.430333,﻿衝突（桟橋）
124,34.69833,135.28333,﻿衝突
125,34.6833,135.365,﻿衝突
126,34.5183,135.3967,﻿衝突（岸壁）
127,34.5967,135.2717,﻿漁網損傷
128,34.3518,135.7283,﻿乗揚
129,34.583333,135.333333,﻿漁網損傷
130,34.6583,135.4333,﻿衝突（浮消波堤）
131,34.637,135.41,﻿火災
132,34.54166667,135.3666667,﻿漁網損傷
133,34.62,135.43,﻿衝突（ドルフィン）
134,34.548167,135.2563,﻿漁網損傷
135,34.6851,135.4833,﻿乗組員死亡
136,34.62,135.415,﻿乗客負傷
137,34.628,135.407,﻿旅客船さんふらわあにしき衝突（岸壁）
138,34.67333,135.48167,﻿衝突（橋梁）
139,34.675,135.405,﻿衝突（防波堤）
140,34.687167,135.510667,﻿衝突（水門）
141,34.5417,135.27,﻿衝突
142,35.6518,139.7613,﻿衝突（桟橋）
143,35.6583,139.7704,﻿衝突
144,35.545,140.067,﻿乗揚
145,35.6466667,139.7705,﻿衝突（桟橋）
146,35.6333,139.7539,﻿乗揚
147,35.6817,139.8933,﻿火災
148,35.585,139.783,﻿衝突（防波堤）
149,35.677,139.787,﻿衝突（橋桁及び橋脚）
150,35.62667,139.79333,﻿衝突（岸壁）
151,35.635,139.7533,﻿衝突（防潮堤）
152,35.6533,139.81667,﻿衝突
153,35.653,139.805,﻿衝突
154,35.66667,139.78833,﻿衝突
155,35.660667,139.845167,﻿衝突
156,35.62183,139.79833,﻿衝突（岸壁）
157,35.5463,139.7519,﻿乗揚
158,35.7117,139.8,﻿旅客負傷
159,35.62833,139.91833,﻿衝突（消波ブロック）
160,35.744667,139.818833,﻿火災
161,35.6385,139.78183,﻿乗揚
162,35.505,139.763,﻿衝突（岸壁）
163,35.632167,139.775833,﻿衝突
164,35.6417,139.85,﻿乗揚
165,35.653667,139.763,﻿衝突
166,35.62667,139.77,﻿乗揚
167,35.6383,139.873,﻿乗組員死亡
168,35.63295,139.77033,﻿衝突（灯浮標）
169,35.71067,139.79867,﻿運航不能（機関損傷）
170,35.6283,139.9352,﻿乗揚
171,35.63,139.7718,﻿乗揚
172,35.6,139.9167,﻿運航阻害
173,35.6537,139.763,﻿衝突
174,35.6518,139.7617,﻿衝突（桟橋）
175,35.6383,139.7782,﻿座洲
176,35.6518,139.7622,﻿浸水
177,35.5482,139.8352,﻿衝突
178,33.3883,132.1183,﻿衝突（防波堤等）
179,33.3833,132.1167,﻿衝突（桟橋）
180,33.3751,132.1551,﻿転覆
181,34.07,133.007,﻿衝突
182,34.1087,133.1908,﻿乗揚
183,34.1058,132.8467,﻿衝突
184,33.6617,130.3133,﻿衝突（桟橋）
185,33.975,132.7697,﻿運航阻害
186,33.6467,130.3167,﻿運航阻害
187,33.625,130.3703,﻿運航阻害
188,34.043333,132.796667,﻿運航阻害
189,33.642778,130.698889,﻿事故
190,34.1333,132.9867,﻿衝突
191,34.1847,133.1992,﻿衝突
192,33.6483,130.3333,﻿乗揚
193,34.075,133.0067,﻿衝突（防波堤）
194,33.598167,130.4,﻿衝突
195,34.2183,133.1518,﻿乗揚
196,34.25,132.8767,﻿運航阻害
197,34.12667,133.02,﻿衝突（桟橋）
198,33.6667,130.2633,﻿運航阻害
199,34.19,132.9,﻿衝突（桟橋）
200,34.2185,132.9372,﻿乗揚
201,34.1907,132.9205,﻿火災
202,34.0705,133.0083,﻿衝突（岸壁）
203,34.2483,132.8767,﻿衝突（桟橋）
204,33.646667,130.331667,﻿運航阻害
205,33.63833,130.33,﻿運航阻害
206,34.1983,133.1037,﻿運航不能（機関損傷）
207,33.65,130.337,﻿運航阻害
208,33.6555,130.2933,﻿運航阻害
209,33.975,132.7717,﻿浸水
210,34.1117,132.9996,﻿衝突
211,33.605,130.4,﻿旅客船ヴィーナス2と油送船第十八漁連丸の衝突事故
212,33.621667,130.373333,﻿運航阻害
213,34.1217,133.005,﻿衝突
214,34.11,132.97,﻿運航不能（機関損傷）
215,33.0702,129.6567,﻿旅客負傷
216,33.1467,129.7219,﻿運航不能（燃料不足）
217,33.1619,129.7233,﻿衝突（可動橋）
218,32.7583,129.5372,﻿浸水
219,32.94,129.618,﻿衝突（防波堤）
220,32.925833,129.628333,﻿旅客負傷
221,32.94,129.637,﻿乗揚
222,32.5467,130.1867,﻿衝突（岸壁）
223,32.748167,129.762167,﻿運航阻害
224,32.52266,130.03583,﻿衝突（岸壁）
225,33.1407,129.7207,﻿乗揚
226,33.1483,129.7185,﻿乗揚
227,33.177,129.608,﻿乗揚
228,32.5485,130.1888,﻿衝突（護岸）
229,33.1467,129.5283,﻿衝突（防波堤）
230,32.434,130.211,﻿乗揚
231,32.74466667,129.8685,﻿乗組員負傷
232,32.94,129.6183,﻿衝突（ドルフィン）
233,33.019542,129.319296,﻿乗揚
234,32.938333,129.623333,﻿乗揚
235,32.745,129.868,﻿衝突
236,32.748,129.868,﻿旅客船マルベージャ３衝突（岸壁）
237,32.704,129.785,﻿運航阻害
238,32.631,129.75,﻿運航阻害
239,32.252167,130.2,﻿衝突
240,33.2466,129.54,﻿乗揚
241,33.167033,129.312967,﻿火災
242,32.5467,130.187,﻿旅客負傷
243,32.585167,130.107333,﻿乗客負傷
244,33.0668,129.7335,﻿旅客負傷
245,32.457,130.205,﻿衝突
246,33.1383,129.6783,﻿乗揚
247,32.255,130.183,﻿衝突（岸壁）
248,32.7385,129.8646,﻿旅客船ぺがさす２運航阻害
249,33.1433,129.3667,﻿火災
250,32.9317,129.31,﻿火災
251,32.457,130.202,﻿火災
252,33.1617,129.725,﻿運航不能(機関損傷)
253,32.8037,129.5433,﻿衝突
254,32.7685,129.5833,﻿運航阻害
255,34.3217,133.7315,﻿衝突(漁具)
256,32.8883,129.0234,﻿衝突（桟橋）
257,34.35,133.4317,﻿衝突（防波堤）
258,34.3917,133.5267,﻿衝突（防波堤）
259,34.5,134.6767,﻿衝突
260,26.194444,127.470556,﻿運航阻害
261,26.21,127.665,﻿衝突（岸壁）
262,26.213,127.3,﻿乗揚
263,26.2233,127.6833,﻿衝突（岸壁）
264,32.805,129.1185,﻿安全阻害
265,26.22,127.41667,﻿ダイビング客負傷
266,34.257333,133.64,﻿衝突
267,34.4483,134.3251,﻿衝突（ドルフィン）
268,32.924,129.13,﻿運航阻害
269,34.542,134.3467,﻿乗揚
270,34.4945,134.607,﻿衝突（漁具）
271,34.499,133.51,﻿衝突（岸壁）
272,34.27,133.66,﻿衝突
273,34.3766,133.6533,﻿衝突（岸壁）
274,34.335,133.56,﻿旅客負傷
275,32.99167,129.105,﻿運航阻害
276,34.745,134.653,﻿運航阻害
277,34.3917,133.6617,﻿運航阻害
278,34.273333,133.745,﻿運航阻害
279,34.36,133.58,﻿衝突（養殖施設）
280,34.412167,133.518667,﻿衝突（桟橋）
281,34.41216667,133.5183333,﻿衝突（防波堤）
282,34.3785,133.5445,﻿衝突
283,32.954,129.102,﻿衝突（岸壁）
284,34.7333,134.2894,﻿衝突
285,34.3617,133.7185,﻿衝突（岸壁）
286,34.335,133.63,﻿衝突（桟橋）
287,34.3017,133.69,﻿運航阻害
288,34.455,134.3217,﻿旅客負傷
289,34.498167,133.503667,﻿乗揚
290,34.4767,134.2967,﻿乗組員負傷
291,34.341667,133.258333,﻿乗揚
292,34.3617,133.7185,﻿衝突（岸壁）
293,34.38,133.273,﻿旅客負傷
294,34.4983,133.5051,﻿乗揚
295,32.925,129.09,﻿衝突（岸壁）
296,32.825,129.1883,﻿衝突（海洋生物）
297,34.4133,133.3872,﻿乗揚
298,33.2217,129.1315,﻿衝突（岸壁）
299,32.822318,128.937792,﻿衝突（桟橋）
300,34.3933,133.2617,﻿衝突（防波堤）
301,26.1907,127.6185,﻿乗揚
302,34.376,133.6533,﻿衝突（桟橋）
303,26.24,127.66,﻿衝突（灯標）
304,34.351944,133.725833,﻿衝突
305,32.7783,128.9417,﻿運航阻害
306,34.490833,134.635,﻿旅客船 PANSTAR HONEY 漁船宝一丸衝突
307,33.2166667,129.0683333,﻿乗揚
308,34.412167,133.518167,﻿運航不能（絡索）
309,34.4083,133.54,﻿衝突
310,26.23,127.325,﻿乗船者死亡
311,32.806667,128.93,﻿乗揚
312,33.183333,129.07,﻿運航阻害
313,26.2417,127.36,﻿乗客負傷
314,34.499,133.5097,﻿衝突（岸壁）
315,34.41,133.519,﻿旅客負傷
316,26.228,127.6685,﻿運航阻害
317,34.455,133.413,﻿衝突
318,32.845,129.0617,﻿乗組員負傷
319,34.382,133.276,﻿座洲
320,34.74833,134.63517,﻿衝突
321,34.4317,133.5033,﻿衝突（桟橋）
322,26.228,127.335,﻿乗揚
323,26.12583,127.65667,﻿乗揚
324,33.179,129.085,﻿運航阻害
325,34.2953,133.7053,﻿運航不能（燃料供給不能）
326,34.3906,133.283,﻿衝突（桟橋）
327,34.3622,133.7188,﻿衝突（岸壁）
328,34.42,133.5,﻿のり養殖施設損傷
329,32.857,129.008,﻿運航不能（機関損傷）
330,34.455,134.32,﻿衝突（ドルフィン）
331,34.4567,133.4083,﻿衝突
332,34.39333,133.26167,﻿衝突（桟橋）
333,35.3333,139.711,﻿火災
334,33.7883,131.99,﻿旅客負傷
335,34.125,133.5333,﻿衝突（防波堤）
336,34.285,132.475,﻿衝突（桟橋）
337,34.325,132.458,﻿衝突
338,33.957333,132.13333,﻿衝突（ドルフィン）
339,34.12583,133.6383,﻿衝突
340,33.877667,132.070333,﻿浸水
341,34.3018,132.3218,﻿運航阻害（操縦不能）
342,34.05,131.7983,﻿衝突（岸壁）
343,33.7917,132.057,﻿衝突（岸壁）
344,34.3037,132.32,﻿衝突（桟橋）
345,33.996,133.365,﻿衝突（桟橋）
346,34.125,133.5334,﻿衝突（桟橋）
347,34.351833,132.456667,﻿乗揚
348,35.45,139.64,﻿火災
349,35.4134,139.6547,﻿DÌ²¸ñ
350,34.306667,132.321667,﻿衝突
351,34.285,132.475,﻿運航阻害
352,35.382,139.687,﻿運航不能（燃料供給不能）
353,34.0518,131.7685,﻿衝突（灯浮標）
354,33.885,132.082,﻿運航不能（機関損傷）
355,33.9567,132.1333,﻿衝突（岸壁）
356,35.4317,139.695,﻿衝突
357,34.313333,132.3416667,﻿衝突（かき筏）
358,34.303333,132.323333,﻿旅客負傷
359,34.3,132.31667,﻿座洲
360,33.96,132.205,﻿漁具損傷
361,33.98333,133.3467,﻿衝突
362,34.392,132.454,﻿衝突（吊足場）
363,33.96,132.13333,﻿運航阻害
364,35.3485,139.66,﻿乗揚
365,33.8833,132,﻿衝突
366,34.3416667,132.4666667,﻿衝突（防波堤）
367,34.2372,133.4919,﻿衝突
368,34.169,132.179,﻿衝突
369,34.318333,132.475,﻿浸水
370,34.325,132.373,﻿乗船者負傷
371,34.05,131.7983,﻿衝突（岸壁）
372,35.452,139.646,﻿火災
373,34.3155,132.4297,﻿衝突（防波堤）
374,35.3317,139.6417,﻿わかめ養殖施設損傷
375,34.2933,132.4733,﻿衝突
376,34.0234,131.7834,﻿衝突
377,33.928,131.975,﻿乗揚
378,35.448167,139.643333,﻿衝突（岸壁）
379,34.26,132.407,﻿乗揚
380,33.875,132.0667,﻿衝突（岸壁）
381,34.23167,133.256,﻿火災
382,35.450167,139.681867,﻿運航阻害
383,35.4467,139.6518,﻿沈没
384,33.946,132.169,﻿運航不能（操舵機損傷）
385,33.956,132.132,﻿衝突
386,34.331667,132.358333,﻿衝突
387,34.2667,132.5,﻿乗揚
388,35.44667,139.65183,﻿衝突（桟橋）
389,34.285,132.4383,﻿衝突（桟橋）
390,34.31633,132.338,﻿衝突（えい航索）
391,34.3667,132.4417,﻿衝突
392,33.457333,132.415167,﻿衝突（桟橋）
393,32.6483,128.9109,﻿運航阻害
394,32.702,128.855,﻿運航阻害
395,32.696667,128.85,﻿衝突（桟橋）
396,41.36667,140.35,﻿運航阻害
397,32.698333,128.85,﻿衝突（防波堤）
398,33.51217,129.9743,﻿浸水
399,41.8083,140.71,﻿潜水士死亡
400,32.6966,128.8519,﻿乗組員負傷
401,32.6963,128.85,﻿衝突（桟橋）
402,41.7783,140.7185,﻿衝突（岸壁）
403,33.344,129.804,﻿運航不能（舵故障）
404,41.8067,140.71,﻿乗組員負傷
405,33.4573,132.4167,﻿衝突（陸上クレーン等）
406,33.595,129.897,﻿旅客負傷
407,33.568167,130.06,﻿乗揚
408,32.744833,128.912167,﻿船体傾斜
409,33.58,129.95,﻿運航阻害
410,41.7984,140.7118,﻿衝突
411,32.697,128.852,﻿衝突
412,33.4536,129.9802,﻿運航不能（推進器損傷）
413,41.805,140.712,﻿衝突（桟橋）
414,33.6067,130.0205,﻿安全阻害
415,33.4575,132.4163,﻿乗組員負傷
416,41.7933,140.7183,﻿衝突（岸壁）
417,41.99,140.67,﻿旅客船おおぬま衝突（桟橋）
418,33.6175,130.0667,﻿衝突
419,34.4083,133.205,﻿衝突（桟橋）
420,34.404,133.1967,﻿衝突（桟橋）
421,34.328167,133.225,﻿衝突
422,35.22,139.715,﻿衝突（岸壁）
423,41.048167,140.646333,﻿乗揚
424,34.2783,132.91,﻿乗揚
425,34.3933,133.0883,﻿衝突（灯浮標）
426,34.404,133.196,﻿乗揚
427,34.315,132.91,﻿衝突
428,31.865,130.195,﻿衝突
429,34.4,133.1933,﻿衝突
430,34.2715,133.15917,﻿安全阻害
431,34.278,133.177,﻿衝突（岸壁）
432,34.3416667,133.1388889,﻿衝突（桟橋）
433,34.40333,133.19667,﻿乗揚
434,34.3351,132.9983,﻿衝突（防波堤）
435,31.8167,129.86,﻿乗揚
436,34.41,133.215,﻿衝突
437,35.221,139.715,﻿衝突
438,34.4026,133.196,﻿衝突
439,34.331667,132.9167,﻿衝突（桟橋）
440,34.40367,133.19333,﻿衝突（桟橋）
441,34.405,133.196,﻿衝突
442,32.765,130.375,﻿衝突
443,34.306,133.01,﻿運航不能（燃料供給不能）
444,34.4023,133.1971,﻿乗揚
445,34.269367,132.913333,﻿衝突（桟橋）
446,34.33166,132.91666,﻿衝突（護岸）
447,34.4036,133.1927,﻿運航阻害
448,35.22,139.715,﻿衝突（岸壁）
449,31.848333,130.1111,﻿運航阻害
450,42.65,141.675,﻿衝突
451,34.308333,132.998333,﻿旅客負傷
452,35.2295,139.731,﻿乗揚
453,34.33,133.098,﻿乗揚
454,34.326667,133.1,﻿乗揚
455,34.4017,133.1903,﻿衝突（岸壁）
456,34.17,134.82,﻿乗揚
457,34.29833,133.15,﻿衝突（桟橋）
458,33.6795,131.5655,﻿衝突（岸壁）
459,33.255,131.597,﻿乗揚
460,34.40333,133.19333,﻿衝突
461,32.928333,130.443333,﻿乗組員負傷
462,34.2815,133.18,﻿衝突（桟橋）
463,33.3033,131.505,﻿陸上作業員負傷
464,34.3067,132.9982,﻿乗揚
465,34.4033,133.1967,﻿運航阻害
466,34.283333,133.178333,﻿衝突
467,34.3533333,133.132833,﻿乗揚
468,34.305,133.0833,﻿衝突（桟橋）
469,34.29,132.83,﻿浸水
470,33.0133,130.4167,﻿衝突（桟橋）
471,33.94817,131.69667,﻿乗揚
472,34.405,133.1967,﻿衝突（桟橋）
473,34.9,139.265,﻿衝突（海洋生物）
474,42.637,141.632,﻿乗組員死亡
475,34.7522,139.3492,﻿火災
